cliente_id,plano,contrato,forma_pagamento,canal_aquisicao,tempo_cliente_meses,receita_mensal,desconto_pct,horas_uso_semana,queda_uso_30d_pct,dias_sem_acesso,nota_satisfacao,chamados_90d,falhas_pagamento_90d,reajuste_recente,cancelou_60d
CLI00001,Plus,Mensal,Débito automático,Mídia paga,13,67.92,15,2.6,19.6,8,6,0,1,0,0
CLI00002,Essencial,Mensal,Pix,Indicação,68,49.9,0,1.7,38.2,4,5,1,0,0,0
CLI00003,Premium,Mensal,Cartão,Busca orgânica,17,113.9,5,3.1,37.3,9,7,2,1,0,0
CLI00004,Plus,Anual,Cartão,Indicação,42,75.9,5,4.5,9.8,2,7,1,0,0,0
CLI00005,Essencial,Mensal,Cartão,Busca orgânica,21,44.91,10,2.7,4.8,6,10,0,0,0,0
CLI00006,Premium,Mensal,Cartão,Mídia paga,12,113.9,5,4.8,26.0,4,7,0,0,1,1
CLI00007,Plus,Mensal,Cartão,Parceiro,8,71.91,10,11.8,29.5,6,6,1,0,0,0
CLI00008,Plus,Anual,Débito automático,Busca orgânica,45,71.91,10,5.2,30.1,6,5,1,0,0,0
CLI00009,Essencial,Anual,Cartão,Busca orgânica,31,47.4,5,4.0,49.7,5,9,0,0,1,0
CLI00010,Essencial,Mensal,Débito automático,Mídia paga,14,49.9,0,3.2,3.6,7,7,2,0,0,0
CLI00011,Essencial,Anual,Boleto,Mídia paga,45,44.91,10,1.1,20.8,9,9,0,0,0,0
CLI00012,Premium,Mensal,Cartão,Busca orgânica,15,119.9,0,0.9,19.8,2,9,0,0,0,0
CLI00013,Plus,Anual,Boleto,Busca orgânica,30,71.91,10,2.7,35.1,8,8,1,1,0,0
CLI00014,Premium,Mensal,Cartão,Busca orgânica,33,119.9,0,5.3,47.4,5,7,1,1,1,1
CLI00015,Essencial,Mensal,Pix,Busca orgânica,86,49.9,0,3.2,35.4,7,4,0,1,1,0
CLI00016,Essencial,Mensal,Boleto,Busca orgânica,83,47.4,5,1.5,9.3,8,8,0,1,0,0
CLI00017,Plus,Anual,Débito automático,Indicação,15,75.9,5,8.1,5.2,2,9,0,0,0,0
CLI00018,Essencial,Anual,Cartão,Mídia paga,12,39.92,20,1.3,38.6,13,8,0,0,0,0
CLI00019,Premium,Mensal,Cartão,Busca orgânica,28,107.91,10,5.2,24.7,2,6,0,0,1,0
CLI00020,Plus,Mensal,Cartão,Busca orgânica,49,75.9,5,5.3,34.6,6,6,0,1,0,1
CLI00021,Plus,Mensal,Boleto,Busca orgânica,4,67.92,15,5.0,8.4,8,10,0,0,0,0
CLI00022,Essencial,Mensal,Cartão,Mídia paga,71,49.9,0,10.9,50.7,11,8,1,1,1,0
CLI00023,Premium,Mensal,Pix,Busca orgânica,18,119.9,0,8.2,40.1,9,7,2,0,0,1
CLI00024,Premium,Mensal,Cartão,Indicação,48,119.9,0,6.3,39.5,8,5,3,0,1,0
CLI00025,Plus,Anual,Cartão,Busca orgânica,18,75.9,5,8.7,30.7,11,7,0,0,0,0
CLI00026,Essencial,Mensal,Cartão,Indicação,66,44.91,10,5.0,26.1,8,5,1,0,0,0
CLI00027,Plus,Anual,Cartão,Busca orgânica,17,71.91,10,1.5,12.4,7,8,0,0,0,0
CLI00028,Essencial,Mensal,Pix,Busca orgânica,39,44.91,10,2.6,18.3,8,7,1,0,0,0
CLI00029,Essencial,Mensal,Cartão,Busca orgânica,25,49.9,0,4.8,29.5,3,7,0,2,0,1
CLI00030,Plus,Mensal,Cartão,Busca orgânica,9,71.91,10,5.8,49.8,7,7,0,1,0,0
CLI00031,Plus,Mensal,Pix,Busca orgânica,17,79.9,0,3.5,63.1,11,6,0,0,0,0
CLI00032,Premium,Mensal,Cartão,Busca orgânica,3,107.91,10,12.7,13.1,6,8,0,1,0,0
CLI00033,Essencial,Anual,Débito automático,Indicação,15,47.4,5,9.2,2.6,7,6,1,0,0,0
CLI00034,Essencial,Mensal,Pix,Parceiro,32,47.4,5,2.0,32.2,7,6,2,0,0,0
CLI00035,Plus,Mensal,Pix,Mídia paga,64,71.91,10,16.2,11.6,5,6,2,0,0,0
CLI00036,Essencial,Anual,Cartão,Mídia paga,24,49.9,0,5.2,41.5,7,5,0,0,0,0
CLI00037,Essencial,Mensal,Cartão,Indicação,96,47.4,5,3.5,71.8,5,6,1,0,0,0
CLI00038,Plus,Mensal,Débito automático,Parceiro,52,63.92,20,8.1,40.8,13,8,0,0,0,0
CLI00039,Essencial,Anual,Débito automático,Mídia paga,13,49.9,0,1.3,22.4,3,9,0,0,0,0
CLI00040,Plus,Mensal,Cartão,Busca orgânica,25,67.92,15,7.6,3.8,4,8,2,0,0,0
CLI00041,Essencial,Mensal,Cartão,Mídia paga,37,44.91,10,3.4,42.6,9,7,0,0,1,0
CLI00042,Premium,Anual,Cartão,Busca orgânica,18,101.92,15,11.8,22.7,2,6,3,1,0,0
CLI00043,Plus,Anual,Débito automático,Parceiro,32,79.9,0,7.3,8.7,4,9,0,0,0,0
CLI00044,Essencial,Mensal,Cartão,Indicação,16,44.91,10,7.5,39.5,10,4,2,0,1,0
CLI00045,Premium,Mensal,Boleto,Mídia paga,25,113.9,5,2.9,89.2,10,6,0,1,1,1
CLI00046,Plus,Anual,Cartão,Parceiro,59,79.9,0,6.9,25.5,7,7,0,1,0,0
CLI00047,Essencial,Mensal,Boleto,Busca orgânica,17,47.4,5,2.0,10.1,9,7,2,1,0,0
CLI00048,Essencial,Mensal,Cartão,Mídia paga,7,42.42,15,4.6,38.7,8,6,0,2,0,1
CLI00049,Plus,Mensal,Cartão,Indicação,85,75.9,5,5.6,24.5,11,8,1,1,0,0
CLI00050,Essencial,Anual,Cartão,Mídia paga,46,49.9,0,2.4,55.3,10,6,1,0,1,0
CLI00051,Essencial,Mensal,Cartão,Busca orgânica,35,49.9,0,2.2,23.9,10,4,1,1,1,0
CLI00052,Essencial,Mensal,Boleto,Busca orgânica,69,49.9,0,1.1,7.0,7,7,2,2,1,0
CLI00053,Plus,Mensal,Cartão,Busca orgânica,48,79.9,0,8.2,4.1,4,7,0,1,0,0
CLI00054,Plus,Mensal,Cartão,Mídia paga,18,75.9,5,6.0,15.9,4,8,1,0,1,0
CLI00055,Plus,Anual,Boleto,Mídia paga,84,79.9,0,4.2,7.4,1,9,0,1,0,0
CLI00056,Plus,Mensal,Cartão,Busca orgânica,32,67.92,15,5.7,55.0,10,8,3,0,0,0
CLI00057,Essencial,Mensal,Cartão,Busca orgânica,43,44.91,10,8.6,9.3,3,8,0,0,0,0
CLI00058,Plus,Anual,Cartão,Busca orgânica,5,75.9,5,4.0,74.1,13,6,0,2,0,0
CLI00059,Essencial,Mensal,Cartão,Mídia paga,10,49.9,0,2.5,4.0,6,8,0,0,0,0
CLI00060,Essencial,Mensal,Boleto,Indicação,8,47.4,5,2.2,55.1,11,5,1,1,0,0
CLI00061,Plus,Mensal,Cartão,Busca orgânica,8,71.91,10,6.8,2.6,3,8,0,0,0,0
CLI00062,Plus,Anual,Débito automático,Parceiro,38,79.9,0,2.6,40.5,9,6,1,0,0,0
CLI00063,Plus,Anual,Cartão,Parceiro,12,67.92,15,4.2,20.4,5,7,1,1,1,0
CLI00064,Plus,Anual,Cartão,Busca orgânica,31,71.91,10,3.0,6.0,5,6,0,1,0,0
CLI00065,Plus,Mensal,Débito automático,Busca orgânica,47,63.92,20,6.2,42.6,6,7,1,0,0,0
CLI00066,Plus,Mensal,Débito automático,Mídia paga,15,71.91,10,5.0,15.6,4,8,1,0,0,0
CLI00067,Plus,Mensal,Pix,Busca orgânica,12,79.9,0,7.1,42.6,4,6,1,0,1,1
CLI00068,Essencial,Anual,Cartão,Indicação,5,47.4,5,0.9,35.4,12,7,0,0,0,0
CLI00069,Essencial,Mensal,Cartão,Parceiro,56,49.9,0,2.1,17.8,6,9,0,1,1,0
CLI00070,Essencial,Anual,Débito automático,Busca orgânica,15,49.9,0,3.2,23.9,7,8,0,0,1,0
CLI00071,Essencial,Anual,Pix,Busca orgânica,72,49.9,0,4.7,21.0,4,8,0,0,1,0
CLI00072,Essencial,Mensal,Cartão,Busca orgânica,35,47.4,5,3.0,16.2,3,8,0,0,1,0
CLI00073,Premium,Mensal,Cartão,Parceiro,62,119.9,0,6.1,19.0,7,7,1,0,0,0
CLI00074,Essencial,Mensal,Débito automático,Mídia paga,7,47.4,5,5.9,5.6,5,5,1,0,0,1
